metric,next_quarter,yhat,yhat_lower,yhat_upper
revenue,2025-09-30,103964500000.0,85385618120.39342,122543381879.60658
net_income,2025-09-30,28350400000.0,18726846194.25049,37973953805.74951
free_cf,2025-09-30,29774200000.0,26995438320.142338,32552961679.857662
